text_id,text,target,expected_answer,Gemma_LoRA_answer,correct
wsc-1,The city councilmen refused the demonstrators a permit because [target]  feared violence.,[target],The city councilmen,city councilmen,False
wsc-2,The city councilmen refused the demonstrators a permit because [target]  advocated violence.,[target],The demonstrators,demonstrators,False
wsc-3,The trophy doesn't fit into the brown suitcase because  [target]  is too large.,[target],the trophy,trophy,False
wsc-4,The trophy doesn't fit into the brown suitcase because  [target]  is too small.,[target],the suitcase,trophy,False
wsc-5,Joan made sure to thank Susan for all the help  [target]  had recieved.,[target],Joan,Susan,False
wsc-6,Joan made sure to thank Susan for all the help  [target]  had given.,[target],Susan,Susan,True
wsc-7,"Paul tried to call George on the phone, but  [target]  wasn't successful.",[target],Paul,Paul,True
wsc-8,"Paul tried to call George on the phone, but  [target]  wasn't available.",[target],George,George,True
wsc-9,"The lawyer asked the witness a question, but  [target]  was reluctant to repeat it.",[target],the lawyer,witness,False
wsc-10,"The lawyer asked the witness a question, but  [target]  was reluctant to answer it.",[target],the witness,witness,False
wsc-11,The delivery truck zoomed by the school bus because  [target]  was going so fast.,[target],the delivery truck,delivery truck,False
wsc-12,The delivery truck zoomed by the school bus because  [target]  was going so slow.,[target],the school bus,school bus,False
wsc-13,Frank felt vindicated when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],Frank,Bill,False
wsc-14,Frank felt crushed when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],Bill,Bill,True
wsc-15,The man couldn't lift his son because  [target]  was so weak.,[target],The man,man,False
wsc-16,The man couldn't lift his son because  [target]  was so heavy.,[target],The son,son,False
wsc-17,The large ball crashed right through the table because  [target]  was made of steel.,[target],The large ball,table,False
wsc-18,The large ball crashed right through the table because  [target]  was made of styrofoam.,[target],The table,table,False
wsc-19,John couldn't see the stage with Billy in front of him because  [target]  is so short.,[target],John,Billy,False
wsc-20,John couldn't see the stage with Billy in front of him because  [target]  is so tall.,[target],Billy,Billy,True
wsc-21,Tom threw his schoolbag down to Ray after  [target]  reached the top of the stairs.,[target],Tom,Tom,True
wsc-22,Tom threw his schoolbag down to Ray after  [target]  reached the bottom of the stairs.,[target],Ray,schoolbag,False
wsc-23,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a good start.",[target],Sue,Sue,True
wsc-24,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a bad start.",[target],Sally,Sally,True
wsc-25,The sculpture rolled off the shelf because  [target]  wasn't anchored.,[target],The sculpture,sculpture,False
wsc-26,The sculpture rolled off the shelf because  [target]  wasn't level.,[target],The shelf,shelf,False
wsc-27,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one below it.,[target],Sam's drawing,Sam's drawing,True
wsc-28,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one above it.,[target],Tina's drawing,Sam's drawing,False
wsc-29,Anna did a lot better than her good friend Lucy on the test because  [target]  had studied so hard.,[target],Anna,Anna,True
wsc-30,Anna did a lot worse than her good friend Lucy on the test because  [target]  had studied so hard.,[target],Lucy,Anna,False
wsc-31,The firemen arrived after the police because  [target]  were coming from so far away.,[target],The firemen,firemen,False
wsc-32,The firemen arrived before the police because  [target]  were coming from so far away.,[target],The police,police,False
wsc-33,Frank was upset with Tom because the toaster  [target]  had bought from him didn't work.,[target],Frank,toaster,False
wsc-34,Frank was upset with Tom because the toaster  [target]  had sold him didn't work.,[target],Tom,toaster,False
wsc-35,Jim yelled at Kevin because  [target]  was so upset.,[target],Jim,Kevin,False
wsc-36,Jim comforted Kevin because  [target]  was so upset.,[target],Kevin,Kevin,True
wsc-37,"The sack of potatoes had been placed above the bag of flour, so  [target]  had to be moved first.",[target],The sack of potatoes,sack of potatoes,False
wsc-38,"The sack of potatoes had been placed below the bag of flour, so  [target]  had to be moved first.",[target],The bag of flour,sack of potatoes,False
wsc-39,Pete envies Martin although  [target]  is very successful.,[target],Pete,Martin,False
wsc-40,Pete envies Martin because  [target]  is very successful.,[target],Martin,Martin,True
wsc-41,"The older students were bullying the younger ones, so we punished  [target] .",[target],The older students,older students,False
wsc-42,"The older students were bullying the younger ones, so we rescued  [target] .",[target],The younger students,younger ones,False
wsc-43,I poured water from the bottle into the cup until  [target]  was empty.,[target],the bottle,bottle,False
wsc-44,I poured water from the bottle into the cup until  [target]  was full.,[target],the cup,cup,False
wsc-45,Susan knows all about Ann's personal problems because  [target]  is nosy.,[target],Susan,Susan,True
wsc-46,Susan knows all about Ann's personal problems because  [target]  is indiscreet.,[target],Ann,Ann,True
wsc-47,Sid explained his theory to Mark but  [target]  couldn't convince him.,[target],Sid,Sid,True
wsc-48,Sid explained his theory to Mark but  [target]  couldn't understand him.,[target],Mark,Mark,True
wsc-49,"Susan knew that Ann's son had been in a car accident, so  [target]  told her about it.",[target],Susan,Susan,True
wsc-50,"Susan knew that Ann's son had been in a car accident, because  [target]  told her about it.",[target],Ann,Ann,True
wsc-51,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years younger.",[target],Joe,Joe,True
wsc-52,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years older.",[target],Joe's uncle,Joe's uncle,True
wsc-53,The painting in Mark's living room shows an oak tree.  [target]  is to the right of the bookcase.,[target],The painting,painting,False
wsc-54,The painting in Mark's living room shows an oak tree.  [target]  is to the right of a house.,[target],The oak tree,painting,False
wsc-55,There is a gap in the wall. You can see the garden through  [target] .,[target],The gap,gap,False
wsc-56,There is a gap in the wall. You can see the garden behind  [target] .,[target],The wall,gap,False
wsc-57,The drain is clogged with hair.  [target]  has to be cleaned.,[target],The drain,drain,False
wsc-58,The drain is clogged with hair.  [target]  has to be removed.,[target],The hair,hair,False
wsc-59,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was short, so it worked out.",[target],The meeting,meeting,False
wsc-60,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was delayed, so it worked out.",[target],The train,train,False
wsc-61,"There is a pillar between me and the stage, and I can't see around  [target] .",[target],The pillar,pillar,False
wsc-62,"There is a pillar between me and the stage, and I can't see  [target] .",[target],The stage,the stage,True
wsc-63,"They broadcast an announcement, but a subway came into the station and I couldn't hear  [target] .",[target],The announcement,announcement,False
wsc-64,"They broadcast an announcement, but a subway came into the station and I couldn't hear over  [target] .",[target],The subway,subway,False
wsc-65,"In the middle of the outdoor concert, the rain started falling, but  [target]  continued until 10.",[target],The concert,concert,False
wsc-66,"In the middle of the outdoor concert, the rain started falling, and  [target]  continued until 10.",[target],The rain,rain,False
wsc-67,"I used an old rag to clean the knife, and then I put  [target]  in the trash.",[target],The rag,rag,False
wsc-68,"I used an old rag to clean the knife, and then I put  [target]  in the drawer.",[target],The knife,knife,False
wsc-69,"Ann asked Mary what time the library closes, because  [target]  had forgotten.",[target],Ann,Ann,True
wsc-70,"Ann asked Mary what time the library closes, but  [target]  had forgotten.",[target],Mary,Mary,True
wsc-71,I took the water bottle out of the backpack so that  [target]  would be handy.,[target],The water bottle,water bottle,False
wsc-72,I took the water bottle out of the backpack so that  [target]  would be lighter.,[target],The backpack,backpack,False
wsc-73,I couldn't put the pot on the shelf because  [target]  was too tall.,[target],The pot,pot,False
wsc-74,I couldn't put the pot on the shelf because  [target]  was too high.,[target],The shelf,shelf,False
wsc-75,I'm sure that my map will show this building;  [target]  is very good.,[target],The map,map,False
wsc-76,I'm sure that my map will show this building;  [target]  is very famous.,[target],The building,building,False
wsc-77,Bob paid for Charlie's college education.  [target]  is very generous.,[target],Bob,Bob,True
wsc-78,Bob paid for Charlie's college education.  [target]  is very grateful.,[target],Charlie,Charlie,True
wsc-79,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very hurt.",[target],Bob,Bob,True
wsc-80,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very ungrateful.",[target],Charlie,Charlie,True
wsc-81,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have won.",[target],Bob,Bob,True
wsc-82,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have lost.",[target],Adam,Bob,False
wsc-83,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,  [target]  would be gone by this time.",[target],Adam,Adam,True
wsc-84,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,  [target]  would be here by this time.",[target],Bob,Bob,True
wsc-85,"If the con artist has succeeded in fooling Sam,  [target]  would have gotten a lot of money.",[target],The con artist,the con artist,True
wsc-86,"If the con artist has succeeded in fooling Sam,  [target]  would have lost a lot of money.",[target],Sam,Sam,True
wsc-87,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because  [target]  was hot.",[target],The dog,the lawn,False
wsc-88,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because  [target]  was cooler.",[target],The spot under the tree,the spot,False
wsc-89,"The cat was lying by the mouse hole waiting for the mouse, but  [target]  was too impatient.",[target],The cat,The cat,True
wsc-90,"The cat was lying by the mouse hole waiting for the mouse, but  [target]  was too cautious.",[target],The mouse,The mouse,True
wsc-91,Anne gave birth to a daughter last month.  [target]  is a very charming woman.,[target],Anne,Anne,True
wsc-92,Anne gave birth to a daughter last month.  [target]  is a very charming baby.,[target],Anne's daughter,daughter,False
wsc-93,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why  [target]  was behaving so strangely.",[target],Alice,Alice's daughter,False
wsc-94,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why  [target]  was behaving so strangely.",[target],Alice's daughter,Alice's daughter,True
wsc-95,"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why  [target]  was, but he looked very unhappy.",[target],Jim,Jim,True
wsc-96,"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who  [target]  was, but he looked very unhappy.",[target],the guy in uniform,guy,False
wsc-97,The fish ate the worm.  [target]  was hungry.,[target],The fish,fish,False
wsc-98,The fish ate the worm.  [target]  was tasty.,[target],The worm,fish,False
wsc-99,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get  [target]  in.",[target],The key,key,False
wsc-100,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get  [target]  out.",[target],The chewing gum,key,False
wsc-101,"The dog chased the cat, which ran up a tree.  [target]  waited at the bottom.",[target],The dog,dog,False
wsc-102,"The dog chased the cat, which ran up a tree.  [target]  waited at the top.",[target],The cat,cat,False
wsc-103,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get  [target]  removed.",[target],The tree,debris,False
wsc-104,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get  [target]  repaired.",[target],The roof,roof,False
wsc-105,The customer walked into the bank and stabbed one of the tellers.  [target]  was immediately taken to the police station.,[target],The customer,the teller,False
wsc-106,The customer walked into the bank and stabbed one of the tellers.  [target]  was immediately taken to the hospital.,[target],The teller,one of the tellers,False
wsc-107,John was doing research in the library when he heard a man humming and whistling.  [target]  was very annoyed.,[target],John,John,True
wsc-108,John was doing research in the library when he heard a man humming and whistling.  [target]  was very annoying.,[target],The man,humming and whistling,False
wsc-109,John was jogging through the park when he saw a man juggling watermelons.  [target]  was very impressed.,[target],John,John,True
wsc-110,John was jogging through the park when he saw a man juggling watermelons.  [target]  was very impressive.,[target],The juggler,juggling watermelons,False
wsc-111,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.  [target]  was very ill.,[target],Bob,Bob,True
wsc-112,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.  [target]  was very concerned.,[target],Carl,Bob,False
wsc-113,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because  [target]  are fifteen.",[target],Sam and Amy,Sam and Amy,True
wsc-114,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because  [target]  are snobs.",[target],Amy's parents,Amy's parents,True
wsc-115,"Mark told Pete many lies about himself, which Pete included in his book.  [target]  should have been more  truthful.",[target],Mark,Mark,True
wsc-116,"Mark told Pete many lies about himself, which Pete included in his book.  [target]  should have been more  skeptical.",[target],Pete,Pete,True
wsc-117,Joe has sold his house and bought a new one a few miles away. He will be moving out of  [target]  on Thursday.,[target],The old house,his house,False
wsc-118,Joe has sold his house and bought a new one a few miles away. He will be moving into  [target]  on Thursday.,[target],The new house,new one,False
wsc-119,Many people start to read Paul's books and can't put them down.  [target]  are gripped because Paul writes so well.,[target],People,People,True
wsc-120,Many people start to read Paul's books and can't put them down.  [target]  are popular because Paul writes so well.,[target],Paul's books,Paul's books,True
wsc-121,Mary took out her flute and played one of her favorite pieces. She has had  [target]  since she was a child.,[target],The flute,flute,False
wsc-122,Mary took out her flute and played one of her favorite pieces. She has loved  [target]  since she was a child.,[target],The piece,flute,False
wsc-123,"Sam pulled up a chair to the piano, but  [target]  was broken, so he had to stand instead.",[target],The chair,piano,False
wsc-124,"Sam pulled up a chair to the piano, but  [target]  was broken, so he had to sing instead.",[target],The piano,piano,False
wsc-125,"Since it was raining, I carried the newspaper in my backpack to keep  [target]  dry.",[target],The newspaper,newspaper,False
wsc-126,"Since it was raining, I carried the newspaper over my backpack to keep  [target]  dry.",[target],The backpack,newspaper,False
wsc-127,Sara borrowed the book from the library because she needs it for an article she is working on. She reads  [target]  when she gets home from work.,[target],The book,book,False
wsc-128,Sara borrowed the book from the library because she needs it for an article she is working on. She writes  [target]  when she gets home from work.,[target],The article,article,False
wsc-129,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked  [target]  down.",[target],The sand castle,sand castle,False
wsc-130,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked  [target]  down.",[target],The flag,sand castle,False
wsc-131,"Jane knocked on Susan's door, but there was no answer.  [target]  was disappointed.",[target],Jane,Jane,True
wsc-132,"Jane knocked on Susan's door, but there was no answer.  [target]  was out.",[target],Susan,Susan,True
wsc-133,"Jane knocked on the door, and Susan answered it.  [target]  invited her to come out.",[target],Jane,Susan,False
wsc-134,"Jane knocked on the door, and Susan answered it.  [target]  invited her to come in.",[target],Susan,Susan,True
wsc-135,"Sam took French classes from Adam, because  [target]  was eager to speak it fluently.",[target],Sam,Sam,True
wsc-136,"Sam took French classes from Adam, because  [target]  was known to speak it fluently.",[target],Adam,Adam,True
